date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:13:11	4720/4720	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2019:09:59%20GMT	https://crafta.usestyle.ai/sites/site-2fb85396-e247-4b8b-bbfe-2aa32a5f38ca	D:/Sign%20Recognition%20Web/crafta.usestyle.ai/sites/site-2fb85396-e247-4b8b-bbfe-2aa32a5f38ca.html	(from )
23:13:12	85/85	---MCZ	200	added ('OK')	text/plain	date:Fri,%2009%20Feb%202024%2019:09:57%20GMT	https://crafta.usestyle.ai/robots.txt		(from )
23:13:12	2954/2954	---M--	200	added ('OK')	image/png	etag:%2265c67885-b8a%22	https://crafta.usestyle.ai/apple-touch-icon.png	D:/Sign%20Recognition%20Web/crafta.usestyle.ai/apple-touch-icon.png	(from https://crafta.usestyle.ai/sites/site-2fb85396-e247-4b8b-bbfe-2aa32a5f38ca)
23:13:13	1548/1548	---M--	200	added ('OK')	image/png	etag:%2265c67885-60c%22	https://crafta.usestyle.ai/favicon-32x32.png	D:/Sign%20Recognition%20Web/crafta.usestyle.ai/favicon-32x32.png	(from https://crafta.usestyle.ai/sites/site-2fb85396-e247-4b8b-bbfe-2aa32a5f38ca)
23:13:13	1016/1016	---M--	200	added ('OK')	image/png	etag:%2265c67885-3f8%22	https://crafta.usestyle.ai/favicon-16x16.png	D:/Sign%20Recognition%20Web/crafta.usestyle.ai/favicon-16x16.png	(from https://crafta.usestyle.ai/sites/site-2fb85396-e247-4b8b-bbfe-2aa32a5f38ca)
23:13:14	57596/57596	---M-Z	200	added ('OK')	application/javascript	etag:%2232ad004436155ec972bc50e6238b5b67+gzip+gzip%22	https://static.ads-twitter.com/uwt.js	D:/Sign%20Recognition%20Web/static.ads-twitter.com/uwt.js	(from https://crafta.usestyle.ai/sites/site-2fb85396-e247-4b8b-bbfe-2aa32a5f38ca)
23:13:14	219515/219515	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2028%20Feb%202024%2017:43:15%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/Sign%20Recognition%20Web/connect.facebook.net/en_US/fbevents.js	(from https://crafta.usestyle.ai/sites/site-2fb85396-e247-4b8b-bbfe-2aa32a5f38ca)
23:13:16	1365/1365	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Feb%202024%2019:09:59%20GMT	https://crafta.usestyle.ai/assets/index-lAWf-PzM.css	D:/Sign%20Recognition%20Web/crafta.usestyle.ai/assets/index-lAWf-PzM.css	(from https://crafta.usestyle.ai/sites/site-2fb85396-e247-4b8b-bbfe-2aa32a5f38ca)
23:13:16	2407216/2407216	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2009%20Feb%202024%2019:09:59%20GMT	https://crafta.usestyle.ai/assets/index-6tB7yQ4V.js	D:/Sign%20Recognition%20Web/crafta.usestyle.ai/assets/index-6tB7yQ4V.js	(from https://crafta.usestyle.ai/sites/site-2fb85396-e247-4b8b-bbfe-2aa32a5f38ca)
23:13:17	4720/4720	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2019:09:59%20GMT	https://crafta.usestyle.ai/sites/a	D:/Sign%20Recognition%20Web/crafta.usestyle.ai/sites/a.html	(from https://connect.facebook.net/en_US/fbevents.js)
23:13:17	4720/4720	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2019:09:59%20GMT	https://crafta.usestyle.ai/sites/POST	D:/Sign%20Recognition%20Web/crafta.usestyle.ai/sites/POST.html	(from https://connect.facebook.net/en_US/fbevents.js)
23:13:17	4720/4720	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2019:09:59%20GMT	https://crafta.usestyle.ai/sites/b.resolvedLink	D:/Sign%20Recognition%20Web/crafta.usestyle.ai/sites/b.html	(from https://connect.facebook.net/en_US/fbevents.js)
23:13:18	4720/4720	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2019:09:59%20GMT	https://crafta.usestyle.ai/sites/schema.org/	D:/Sign%20Recognition%20Web/crafta.usestyle.ai/sites/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
23:13:18	4720/4720	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2019:09:59%20GMT	https://crafta.usestyle.ai/signals/iwl.js	D:/Sign%20Recognition%20Web/crafta.usestyle.ai/signals/iwl.html	(from https://connect.facebook.net/en_US/fbevents.js)
